date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:26:51	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2031%20Jan%202023%2015:26:51%20GMT	http://www.traff-industries.de/robots.txt		(from )
16:26:51	17921/17921	---M--	200	added ('OK')	text/html	etag:%224601-4a9aef43ec280%22	http://www.traff-industries.de/	www.traff-industries.de/index.html	(from )
16:26:52	1345/1345	---M--	200	added ('OK')	text/html	etag:%22541-47531f948fcc0%22	http://www.traff-industries.de/pages/spot.html	www.traff-industries.de/pages/spot.html	(from http://www.traff-industries.de/)
16:26:53	12052/12052	---M--	200	added ('OK')	text/html	etag:%222f14-473884f3d3340%22	http://www.traff-industries.de/pages/material.html	www.traff-industries.de/pages/material.html	(from http://www.traff-industries.de/)
16:26:54	7301/7301	---M--	200	added ('OK')	image/gif	etag:%221c85-451a720a64b00%22	http://www.traff-industries.de/pictures/traff.gif	www.traff-industries.de/pictures/traff.gif	(from http://www.traff-industries.de/)
16:26:57	4859/4859	---M--	200	added ('OK')	text/html	etag:%2212fb-451a83be40f00%22	http://www.traff-industries.de/pages/pad.html	www.traff-industries.de/pages/pad.html	(from http://www.traff-industries.de/)
16:26:57	40526/40526	---M--	200	added ('OK')	image/jpeg	etag:%229e4e-451a74867e7c0%22	http://www.traff-industries.de/pictures/bookcover.jpg	www.traff-industries.de/pictures/bookcover.jpg	(from http://www.traff-industries.de/)
16:26:58	2522/2522	---M--	200	added ('OK')	image/jpeg	etag:%229da-451a728ef43c0%22	http://www.traff-industries.de/pictures/lncs4192.jpg	www.traff-industries.de/pictures/lncs4192.jpg	(from http://www.traff-industries.de/)
16:26:58	7508/7508	---M--	200	added ('OK')	image/gif	etag:%221d54-451a72987da40%22	http://www.traff-industries.de/pictures/parco-33-9.gif	www.traff-industries.de/pictures/parco-33-9.gif	(from http://www.traff-industries.de/)
16:27:01	30143/30143	---M--	200	added ('OK')	image/jpeg	etag:%2275bf-45f0b577e0c00%22	http://www.traff-industries.de/pictures/lncs4854.jpg	www.traff-industries.de/pictures/lncs4854.jpg	(from http://www.traff-industries.de/)
16:27:04	30690/30690	---M--	200	added ('OK')	image/jpeg	etag:%2277e2-47388446419c0%22	http://www.traff-industries.de/pictures/lncs5415.jpg	www.traff-industries.de/pictures/lncs5415.jpg	(from http://www.traff-industries.de/)
16:27:06	3404/3404	---M--	200	added ('OK')	image/jpeg	etag:%22d4c-47ad91d5d7a80%22	http://www.traff-industries.de/pictures/scientificprog.jpg	www.traff-industries.de/pictures/scientificprog.jpg	(from http://www.traff-industries.de/)
16:27:07	15303/15303	---M--	200	added ('OK')	text/html	etag:%223bc7-4a9aeed828440%22	http://www.traff-industries.de/pages/disputats.html	www.traff-industries.de/pages/disputats.html	(from http://www.traff-industries.de/)
16:27:08	29704/29704	---M--	200	added ('OK')	image/jpeg	etag:%227408-4738845f0d440%22	http://www.traff-industries.de/pictures/mpi21-fronts.jpg	www.traff-industries.de/pictures/mpi21-fronts.jpg	(from http://www.traff-industries.de/)
16:27:08	3558/3558	---M--	200	added ('OK')	text/html	etag:%22de6-4605e2c580180%22	http://www.traff-industries.de/pages/marathon.html	www.traff-industries.de/pages/marathon.html	(from http://www.traff-industries.de/)
16:27:09	28589/28589	---M--	200	added ('OK')	image/jpeg	etag:%226fad-477ec71518e00%22	http://www.traff-industries.de/pictures/mpi22-fronts.jpg	www.traff-industries.de/pictures/mpi22-fronts.jpg	(from http://www.traff-industries.de/)
16:27:10	33504/33504	---M--	200	added ('OK')	image/jpeg	etag:%2282e0-4a9aee9dfbb00%22	http://www.traff-industries.de/pictures/lncs6586.jpg	www.traff-industries.de/pictures/lncs6586.jpg	(from http://www.traff-industries.de/)
16:27:11	15168/15168	---M--	200	added ('OK')	image/jpeg	etag:%223b40-451a8297917c0%22	http://www.traff-industries.de/pictures/clearspot.jpg	www.traff-industries.de/pictures/clearspot.jpg	(from http://www.traff-industries.de/pages/spot.html)
16:27:14	18233/18233	---M--	200	added ('OK')	image/jpeg	etag:%224739-451a829a6de80%22	http://www.traff-industries.de/pictures/mempi.jpg	www.traff-industries.de/pictures/mempi.jpg	(from http://www.traff-industries.de/pages/spot.html)
16:27:15	26036/26036	---M--	200	added ('OK')	image/jpeg	etag:%2265b4-451a91b4a0000%22	http://www.traff-industries.de/pictures/tumcard.jpg	www.traff-industries.de/pictures/tumcard.jpg	(from http://www.traff-industries.de/pages/spot.html)
16:27:20	21496/21496	---M--	200	added ('OK')	image/jpeg	etag:%2253f8-451a729c4e340%22	http://www.traff-industries.de/pictures/rundel.jpg	www.traff-industries.de/pictures/rundel.jpg	(from http://www.traff-industries.de/pages/material.html)
16:27:23	43643/43643	---M--	200	added ('OK')	image/jpeg	etag:%22aa7b-451a71de86380%22	http://www.traff-industries.de/pictures/koeln.jpg	www.traff-industries.de/pictures/koeln.jpg	(from http://www.traff-industries.de/pages/material.html)
16:27:28	28373/28373	---M--	200	added ('OK')	image/jpeg	etag:%226ed5-451a71e627580%22	http://www.traff-industries.de/pictures/podiatrism.jpg	www.traff-industries.de/pictures/podiatrism.jpg	(from http://www.traff-industries.de/pages/material.html)
16:27:38	68395/68395	---M--	200	added ('OK')	application/postscript	etag:%2210b2b-451a827724b40%22	http://www.traff-industries.de/docs/manual.ps	www.traff-industries.de/docs/manual.ps	(from http://www.traff-industries.de/pages/pad.html)
16:28:04	140876/140876	---M--	200	added ('OK')	application/pdf	etag:%222264c-473883e21ed80%22	http://www.traff-industries.de/docs/sammenfatning.pdf	www.traff-industries.de/docs/sammenfatning.pdf	(from http://www.traff-industries.de/pages/disputats.html)
